time,pid,L2
2017-05-02T14:28:33.441-04:00,PC6771,0.014766855099019378
2017-05-02T14:28:33.465-04:00,PC6771,0.016767826827313814
2017-05-02T14:28:33.491-04:00,PC6771,0.012567815631762017
2017-05-02T14:28:33.516-04:00,PC6771,0.007140728106698603
2017-05-02T14:28:33.541-04:00,PC6771,0.007664202412408245
2017-05-02T14:28:33.566-04:00,PC6771,0.00829095887996185
2017-05-02T14:28:33.591-04:00,PC6771,0.009132907635663993
2017-05-02T14:28:33.616-04:00,PC6771,0.007319152675031793
2017-05-02T14:28:33.641-04:00,PC6771,0.01065176073692598
2017-05-02T14:28:33.665-04:00,PC6771,0.014346427992792185
2017-05-02T14:28:33.691-04:00,PC6771,0.014572920292218077
2017-05-02T14:28:33.716-04:00,PC6771,0.013609188149890742
2017-05-02T14:28:33.741-04:00,PC6771,0.013075167564278884
2017-05-02T14:28:33.766-04:00,PC6771,0.01811159875465776
2017-05-02T14:28:33.791-04:00,PC6771,0.01831775096255098
2017-05-02T14:28:33.816-04:00,PC6771,0.017316177454253782
2017-05-02T14:28:33.841-04:00,PC6771,0.013112971080137875
2017-05-02T14:28:33.865-04:00,PC6771,0.014606847580501073
2017-05-02T14:28:33.891-04:00,PC6771,0.01985875118996395
2017-05-02T14:28:33.916-04:00,PC6771,0.01496696405585465
2017-05-02T14:28:33.941-04:00,PC6771,0.011501738845350154
2017-05-02T14:28:33.966-04:00,PC6771,0.013709121413755888
2017-05-02T14:28:33.991-04:00,PC6771,0.017774700657671963
2017-05-02T14:28:34.016-04:00,PC6771,0.010813417644493529
2017-05-02T14:28:34.041-04:00,PC6771,0.008046738556056943
2017-05-02T14:28:34.065-04:00,PC6771,0.007433706969758555
2017-05-02T14:28:34.091-04:00,PC6771,0.007834538687613473
2017-05-02T14:28:34.116-04:00,PC6771,0.016106520512314596
2017-05-02T14:28:34.141-04:00,PC6771,0.0147539826535649
2017-05-02T14:28:34.166-04:00,PC6771,0.01661956667729317
